name,dob,batting_style,bowling_style,playing_role,country
Romario Shepherd,26/11/1994,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies
Brad Haddin,23/10/1977,Right hand Bat,,Wicketkeeper Batter,Australia
Avesh Khan,13/12/1996,Right hand Bat,Right arm Fast medium,Bowler,India
Kevin Pietersen,27/06/1980,Right hand Bat,Right arm Offbreak,Top order Batter,England
Sumit Narwal,16/04/1982,Left hand Bat,Right arm Medium,Allrounder,India
Axar Patel,20/01/1994,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,India
Wayne Parnell,30/07/1989,Left hand Bat,Left arm Medium fast,Bowler,South Africa
Samuel Badree,09/03/1981,Right hand Bat,Legbreak,Bowler,West Indies
Prithvi Shaw,09/11/1999,Right hand Bat,Right arm Offbreak,Opening Batter,India
Jacques Kallis,16/10/1975,Right hand Bat,Right arm Fast medium,Allrounder,South Africa
Tyron Henderson,01/08/1974,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Ishwar Pandey,15/08/1989,Right hand Bat,Right arm Medium,Bowler,India
Alzarri Joseph,20/11/1996,Right hand Bat,Right arm Fast,Bowler,West Indies
Abhishek Jhunjhunwala,01/12/1982,Right hand Bat,Right arm Offbreak,Batter,India
Kemar Roach,30/06/1988,Right hand Bat,Right arm Fast medium,Bowler,West Indies
Kuldip Yadav,15/10/1996,Left hand Bat,Left arm Fast medium,Bowler,India
Krishmar Santokie,20/12/1984,Left hand Bat,Left arm Medium,Bowler,West Indies
Oshane Thomas,18/02/1997,Left hand Bat,Right arm Fast,Bowler,West Indies
Rahul Tewatia,20/05/1993,Left hand Bat,Legbreak,Bowling Allrounder,India
Ajit Chandila,05/12/1983,Right hand Bat,Right arm Offbreak,Allrounder,India
Varun Aaron,29/10/1989,Right hand Bat,Right arm Fast,Bowler,India
Debabrata Das,22/09/1986,Right hand Bat,Legbreak Googly,Top order Batter,India
Johan van der Wath,10/01/1978,Right hand Bat,Right arm Medium fast,Allrounder,South Africa
Mark Wood,11/01/1990,Right hand Bat,Right arm Fast,Bowler,England
Abu Nechim,05/11/1988,Right hand Bat,Right arm Medium fast,Bowler,India
Andrew McDonald,05/06/1981,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Abhishek Nayar,08/10/1983,Left hand Bat,Right arm Medium,Allrounder,India
Simon Katich,21/08/1975,Left hand Bat,Left arm Wrist spin,Batter,Australia
Paras Dogra,19/11/1984,Right hand Bat,Legbreak,Batter,India
Andre Russell,29/04/1988,Right hand Bat,Right arm Fast,Allrounder,West Indies
Ambati Rayudu,23/09/1985,Right hand Bat,Right arm Offbreak,Middle order Batter,India
Aavishkar Salvi,20/10/1981,Right hand Bat,Right arm Medium,Bowler,India
Dale Steyn,27/06/1983,Right hand Bat,Right arm Fast,Bowler,South Africa
Devon Conway,08/07/1991,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand
Yo Mahesh,21/12/1987,Right hand Bat,Right arm Medium fast,Allrounder,India
Abhinav Mukund,06/01/1990,Left hand Bat,Legbreak Googly,Top order Batter,India
Suryakumar Yadav,14/09/1990,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India
Pawan Negi,06/01/1993,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Dushmantha Chameera,11/01/1992,Right hand Bat,Right arm Fast,Bowler,Sri Lanka
Raiphi Gomez,16/10/1985,Right hand Bat,Right arm Medium,Allrounder,India
Mohammad Ashraful,07/07/1984,Right hand Bat,"Right arm Offbreak, Legbreak",Middle order Batter,Bangladesh
Billy Stanlake,04/11/1994,Left hand Bat,Right arm Fast,Bowler,Australia
Bhargav Bhatt,13/05/1990,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Rahul Shukla,28/08/1990,Right hand Bat,Right arm Medium,Bowler,India
Abhimanyu Mithun,25/10/1989,Right hand Bat,Right arm Medium,Bowler,India
Ravi Bishnoi,05/09/2000,Right hand Bat,Legbreak Googly,Bowler,India
Brett Lee,08/11/1976,Right hand Bat,Right arm Fast,Bowler,Australia
Jofra Archer,01/04/1995,Right hand Bat,Right arm Fast,Bowler,England
Akash Deep,15/12/1996,Right hand Bat,Right arm Fast medium,Bowling Allrounder,India
Joe Denly,16/03/1986,Right hand Bat,Legbreak,Top order Batter,England
Yashasvi Jaiswal,28/12/2001,Left hand Bat,Legbreak,Opening Batter,India
Marchant de Lange,13/10/1990,Right hand Bat,Right arm Fast,Bowler,South Africa
Ben Cutting,30/01/1987,Right hand Bat,Right arm Fast medium,Allrounder,Australia
Adam Zampa,31/03/1992,Right hand Bat,Legbreak Googly,Bowler,Australia
Rajat Patidar,01/06/1993,Right hand Bat,Right arm Offbreak,Top order Batter,India
Dinesh Salunkhe,12/11/1982,Right hand Bat,Legbreak,Bowler,India
Tatenda Taibu,14/05/1983,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Zimbabwe
Rahul Tripathi,02/03/1991,Right hand Bat,Right arm Medium,Top order Batter,India
Shreyas Gopal,04/09/1993,Right hand Bat,Legbreak,Allrounder,India
Riley Meredith,21/06/1996,Right hand Bat,Right arm Fast,Bowler,Australia
Faiz Fazal,07/09/1985,Left hand Bat,Right arm Medium,Opening Batter,India
Sean Abbott,29/02/1992,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Australia
Odean Smith,01/11/1996,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies
Manan Vohra,18/07/1993,Right hand Bat,Right arm Medium,Opening Batter,India
Martin Guptill,30/09/1986,Right hand Bat,Right arm Offbreak,Opening Batter,New Zealand
Cheteshwar Pujara,25/01/1988,Right hand Bat,Legbreak,Top order Batter,India
Priyam Garg,30/11/2000,Right hand Bat,Right arm Medium,Top order Batter,India
Jason Holder,05/11/1991,Right hand Bat,Right arm Medium fast,Bowling Allrounder,West Indies
Prashant Chopra,07/10/1992,Right hand Bat,Legbreak Googly,Opening Batter,India
Dinesh Karthik,01/06/1985,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,India
Glenn McGrath,09/02/1970,Right hand Bat,Right arm Fast medium,Bowler,Australia
Colin Munro,11/03/1987,Left hand Bat,Right arm Medium fast,Opening Batter,New Zealand
Sourav Ganguly,08/07/1972,Left hand Bat,Right arm Medium,Batter,India
Dilhara Fernando,19/07/1979,Right hand Bat,Right arm Fast medium,Bowler,Sri Lanka
Chamara Kapugedera,24/02/1987,Right hand Bat,Right arm Medium,Middle order Batter,Sri Lanka
Sreenath Aravind,08/04/1984,Left hand Bat,Left arm Medium fast,Bowler,India
Robin Uthappa,11/11/1985,Right hand Bat,Right arm Medium,Batter,India
Ricky Ponting,19/12/1974,Right hand Bat,Right arm Medium,Top order Batter,Australia
Brad Hogg,06/02/1971,Left hand Bat,Left arm Wrist spin,Allrounder,Australia
Jaydev Unadkat,18/10/1991,Right hand Bat,Left arm Medium,Bowler,India
Ben Stokes,04/06/1991,Left hand Bat,Right arm Fast medium,Allrounder,England
Robin Peterson,04/08/1979,Left hand Bat,Slow Left arm Orthodox,Bowler,South Africa
Farhaan Behardien,09/10/1983,Right hand Bat,Right arm Fast medium,Batting Allrounder,South Africa
Shane Harwood,01/03/1974,Right hand Bat,Right arm Fast medium,Bowler,Australia
Murugan Ashwin,08/09/1990,Right hand Bat,Legbreak Googly,Bowler,India
Heinrich Klaasen,30/07/1991,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa
Andrew Tye,12/12/1986,Right hand Bat,Right arm Medium fast,Bowler,Australia
Shubman Gill,08/09/1999,Right hand Bat,Right arm Offbreak,Opening Batter,India
Shaun Marsh,09/07/1983,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Albie Morkel,10/06/1981,Left hand Bat,Right arm Medium fast,Bowling Allrounder,South Africa
Tim Paine,08/12/1984,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Australia
Charl Langeveldt,17/12/1974,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Baba Indrajith,08/07/1994,Right hand Bat,Legbreak Googly,Top order Batter,India
Mohammed Siraj,13/03/1994,Right hand Bat,Right arm Fast,Bowler,India
James Neesham,17/09/1990,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand
Roelof van der Merwe,31/12/1984,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Netherlands
Alex Carey,27/08/1991,Left hand Bat,,Wicketkeeper Batter,Australia
Ashish Nehra,29/04/1979,Right hand Bat,Left arm Medium fast,Bowler,India
Morne van Wyk,20/03/1979,Right hand Bat,Slow Left arm Orthodox,Wicketkeeper Batter,South Africa
Pardeep Sahu,21/08/1985,Right hand Bat,Legbreak Googly,Allrounder,India
Kusal Perera,17/08/1990,Left hand Bat,,Wicketkeeper Batter,Sri Lanka
Javon Searles,21/12/1986,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies
Sandeep Warrier,04/04/1991,Right hand Bat,Right arm Medium,Bowler,India
Shadab Jakati,27/11/1980,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Manoj Tiwary,14/11/1985,Right hand Bat,Legbreak Googly,Batter,India
Hashim Amla,31/03/1983,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,South Africa
Sunil Joshi,06/06/1970,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Rahul Sharma,30/11/1986,Right hand Bat,Legbreak Googly,Bowler,India
Akash Singh,26/04/2002,Right hand Bat,Left arm Medium fast,Bowler,India
Abhishek Sharma,04/09/2000,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Vikram Singh,17/09/1984,Right hand Bat,Right arm Medium fast,Check,India
George Bailey,07/09/1982,Right hand Bat,Right arm Medium,Top order Batter,Australia
Mustafizur Rahman,06/09/1995,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh
Zaheer Khan,08/10/1978,Right hand Bat,Left arm Fast medium,Bowler,India
Rajesh Bishnoi,08/10/1987,Right hand Bat,Right arm Medium fast,Middle order Batter,India
Arshdeep Singh,05/02/1999,Left hand Bat,Left arm Medium fast,Bowler,India
Abdul Samad,28/10/2001,Right hand Bat,Legbreak,Batter,India
Chamara Silva,14/12/1979,Right hand Bat,Legbreak,Batter,Sri Lanka
Owais Shah,22/10/1978,Right hand Bat,Right arm Offbreak,Batter,England
Lalit Yadav,03/01/1997,Right hand Bat,Right arm Offbreak,Allrounder,India
Shahid Afridi,01/03/1980,Right hand Bat,Legbreak Googly,Allrounder,Pakistan
Shoaib Akhtar,13/08/1975,Right hand Bat,Right arm Fast,Bowler,Pakistan
Gagandeep Singh,03/10/1981,Right hand Bat,Right arm Medium fast,Check,India
Sanjay Yadav,10/05/1995,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Ali Murtaza,01/01/1990,Left hand Bat,Slow Left arm Orthodox,Bowler,India
Mohammad Hafeez,17/10/1980,Right hand Bat,Right arm Offbreak,Allrounder,Pakistan
Khaleel Ahmed,05/12/1997,Right hand Bat,Left arm Fast medium,Bowler,India
Shoaib Ahmed,19/11/1987,Right hand Bat,Right arm Fast medium,Check,India
Rp Singh,06/12/1985,Right hand Bat,Left arm Fast medium,Bowler,India
David Miller,10/06/1989,Left hand Bat,Right arm Offbreak,Middle order Batter,South Africa
Vinay Kumar,12/02/1984,Right hand Bat,Right arm Medium,Bowler,India
Ryan Harris,11/10/1979,Right hand Bat,Right arm Fast,Bowler,Australia
Younis Khan,29/11/1977,Right hand Bat,"Right arm Medium, Legbreak",Middle order Batter,Pakistan
Mohit Sharma,18/09/1988,Right hand Bat,Right arm Medium,Bowler,India
Shahbaz Ahmed,11/12/1994,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Harpreet Singh,11/08/1991,Left hand Bat,Right arm Medium,Batter,India
Praveen Kumar,02/10/1986,Right hand Bat,Right arm Medium,Bowler,India
Misbahulhaq,28/05/1974,Right hand Bat,Legbreak,Middle order Batter,Pakistan
Faf Du Plessis,13/07/1984,Right hand Bat,Legbreak,Middle order Batter,South Africa
Jaskaran Singh,21/12/1991,Left hand Bat,Left arm Medium,Bowler,India
Amit Mishra,24/11/1982,Right hand Bat,Legbreak,Bowler,India
Shashank Singh,21/11/1991,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,India
Michael Clarke,02/04/1981,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,Australia
Rohit Sharma,30/04/1987,Right hand Bat,Right arm Offbreak,Top order Batter,India
Ross Taylor,08/03/1984,Right hand Bat,Right arm Offbreak,Middle order Batter,New Zealand
Arindam Ghosh,19/10/1986,Right hand Bat,Right arm Medium,Batter,India
Shahbaz Nadeem,12/08/1989,Right hand Bat,Slow Left arm Orthodox,Bowler,India
Sunny Singh,18/12/1986,Right hand Bat,Right arm Medium fast,Batter,India
Sarfaraz Khan,22/10/1997,Right hand Bat,Legbreak,Middle order Batter,India
Amit Singh,21/06/1981,Right hand Bat,Right arm Medium fast,Bowler,India
Graeme Smith,01/02/1981,Left hand Bat,Right arm Offbreak,Opening Batter,South Africa
Rashid Khan,20/09/1998,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan
Dawid Malan,03/09/1987,Left hand Bat,Legbreak,Top order Batter,England
Kamran Khan,10/03/1991,Left hand Bat,Left arm Medium fast,Bowler,India
Daryl Mitchell,20/05/1991,Right hand Bat,Right arm Medium,Batting Allrounder,New Zealand
Vijay Shankar,26/01/1991,Right hand Bat,Right arm Medium,Allrounder,India
Harbhajan Singh,03/07/1980,Right hand Bat,Right arm Offbreak,Bowler,India
Sandeep Sharma,18/05/1993,Right hand Bat,Right arm Medium,Bowler,India
Mohsin Khan,15/07/1998,Left hand Bat,Left arm Medium fast,Bowler,India
Harmeet Singh,09/10/1987,Right hand Bat,Right arm Medium,Bowler,India
Siddharth Trivedi,04/09/1982,Right hand Bat,Right arm Medium,Bowler,India
Matt Henry,14/12/1991,Right hand Bat,Right arm Fast medium,Bowler,New Zealand
Irfan Pathan,27/10/1984,Left hand Bat,Left arm Medium fast,Allrounder,India
Manish Pandey,10/09/1989,Right hand Bat,Right arm Medium,Top order Batter,India
Yuvraj Singh,12/12/1981,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,India
Mohammad Nabi,01/01/1985,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan
Karan Sharma,31/10/1998,Right hand Bat,Right arm Offbreak,Allrounder,India
Niraj Patel,26/03/1981,Left hand Bat,,Allrounder,India
Mohammad Asif,20/12/1982,Left hand Bat,Right arm Fast medium,Bowler,Pakistan
Thalaivan Sargunam,15/05/1985,Right hand Bat,Right arm Offbreak,Batter,India
Ravisrinivasan Sai Kishore,06/11/1996,Left hand Bat,Slow Left arm Orthodox,Bowler,India
M Shahrukh Khan,27/05/1995,Right hand Bat,Right arm Offbreak,Batter,India
S Badrinath,30/08/1980,Right hand Bat,Right arm Offbreak,Middle order Batter,India
Anustup Majumdar,30/04/1984,Right hand Bat,Legbreak Googly,Middle order Batter,India
Dillon Du Preez,08/11/1981,Right hand Bat,Right arm Fast medium,Bowling Allrounder,South Africa
Wilkin Mota,20/09/1981,Right hand Bat,Right arm Medium,Bowling Allrounder,India
T Natarajan,04/04/1991,Left hand Bat,Left arm Medium,Bowler,India
Musavir Khote,22/04/1980,Right hand Bat,Right arm Medium,Bowler,India
Wanindu Hasaranga de Silva,29/07/1997,Right hand Bat,Legbreak,Allrounder,Sri Lanka
Prasanth Parameswaran,30/05/1985,Right hand Bat,Left arm Medium,Bowler,India
Veer Pratap Singh,03/05/1992,Right hand Bat,Right arm Medium,Bowler,India
Paidikalva Vijaykumar,20/10/1986,Right hand Bat,Right arm Medium,Bowler,India
Krishnakant Upadhyay,18/06/1986,Right hand Bat,Right arm Medium,Bowler,India
Sunny Gupta,27/09/1988,Right hand Bat,Right arm Offbreak,Bowler,India
Jagadeesh Arunkumar,18/01/1975,Right hand Bat,Right arm Offbreak,Top order Batter,India
Mohnish Parmar,12/04/1988,Right hand Bat,Right arm Offbreak,Bowler,India
Nathan Coulter-Nile,11/10/1987,Right hand Bat,Right arm Fast,Bowling Allrounder,Australia
Vikrant Yeligati,23/04/1985,Right hand Bat,Right arm Offbreak,Bowler,India
Vijay Zol,23/11/1994,Left hand Bat,Right arm Offbreak,Top order Batter,India
D'Arcy Short,09/08/1990,Left hand Bat,Left arm Wrist spin,Opening Batter,Australia
Daniel Harris,31/12/1979,Right hand Bat,Right arm Medium,Opening Batter,Australia
Chetanya Nanda,29/03/1979,Right hand Bat,Legbreak,Bowler,India
Palani Amarnath,01/06/1982,Right hand Bat,Right arm Medium,Bowler,India
Azhar Bilakhia,31/05/1986,Right hand Bat,Right arm Medium,Batter,India
Udit Birla,17/11/1989,Right hand Bat,Right arm Medium,Middle order Batter,India
Rohan Gavaskar,20/02/1976,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,India
Rohan Raje,03/09/1986,Right hand Bat,Right arm Fast medium,Bowler,India
Devraj Patil,06/12/1984,Right hand Bat,,Wicketkeeper Batter,India
Rahil Shaikh,12/06/1985,Left hand Bat,Left arm Medium,Bowler,India
Pm Sarvesh Kumar,26/04/1989,Right hand Bat,Right arm Medium,Bowler,India
Karanveer Singh,08/11/1987,Right hand Bat,Legbreak Googly,Bowler,India
Kevon Cooper,16/02/1989,Right hand Bat,Right arm Medium,Allrounder,West Indies
Halhadar Das,10/12/1986,Right hand Bat,,Wicketkeeper Batter,India
Chandrasekar Ganapathy,10/06/1981,Right hand Bat,Right arm Medium,Top order Batter,India
Ranadeb Bose,27/02/1979,Right hand Bat,Right arm Fast medium,Bowler,India
Tp Sudhindra,24/04/1984,Left hand Bat,Right arm Fast,Bowler,India
Yogesh Takawale,05/11/1984,Right hand Bat,,Opening Batter,India
Ishank Jaggi,27/01/1989,Right hand Bat,Legbreak Googly,Batter,India
Doddapaneni Kalyankrishna,16/12/1983,Right hand Bat,Right arm Medium fast,Bowler,India
Domnic Muthuswami,09/03/1981,Right hand Bat,Right arm Medium,Bowler,India
Sanjay Bangar,11/10/1972,Right hand Bat,Right arm Medium fast,Middle order Batter,India
Jean-Paul Duminy,14/04/1984,Left hand Bat,Right arm Offbreak,Batting Allrounder,South Africa
Shubham Agarwal,21/11/1993,Right hand Bat,Legbreak Googly,Bowling Allrounder,India
Amit Uniyal,21/11/1981,Left hand Bat,Left arm Medium,Opening Batter,India
Shivam Sharma,09/09/1993,Right hand Bat,Right arm Offbreak,Bowling Allrounder,India
Anirudh Singh,02/08/1980,Left hand Bat,Right arm Medium,Batter,India
Shoaib Shaikh,18/01/1987,Right hand Bat,Right arm Medium,Opening Batter,India
Mandeep Singh,18/12/1991,Right hand Bat,Right arm Medium,Allrounder,India
